./data/visitall/adapted_instances/instance-26.pddl	duplicate
./data/visitall/adapted_instances/instance-9.pddl	left over
./data/visitall/adapted_instances/instance-44.pddl	left over
./data/visitall/adapted_instances/instance-34.pddl	left over
./data/visitall/adapted_instances/instance-37.pddl	left over
./data/visitall/adapted_instances/instance-35.pddl	left over
./data/visitall/adapted_instances/instance-5.pddl	left over
./data/visitall/adapted_instances/instance-27.pddl	left over
./data/visitall/adapted_instances/instance-46.pddl	left over
./data/visitall/adapted_instances/instance-16.pddl	left over
./data/visitall/adapted_instances/instance-19.pddl	left over
./data/visitall/adapted_instances/instance-31.pddl	left over
./data/visitall/adapted_instances/instance-22.pddl	left over
./data/visitall/adapted_instances/instance-2.pddl	left over
./data/visitall/adapted_instances/instance-8.pddl	left over
./data/visitall/adapted_instances/instance-39.pddl	left over
./data/visitall/adapted_instances/instance-15.pddl	left over
./data/visitall/adapted_instances/instance-7.pddl	left over
./data/visitall/adapted_instances/instance-20.pddl	not match filter
./data/visitall/adapted_instances/instance-21.pddl	not match filter
./data/visitall/adapted_instances/instance-13.pddl	not match filter
./data/visitall/adapted_instances/instance-3.pddl	no plan found
./data/visitall/adapted_instances/instance-14.pddl	no plan found
./data/visitall/adapted_instances/instance-40.pddl	no plan found
./data/visitall/adapted_instances/instance-10.pddl	no plan found
./data/visitall/adapted_instances/instance-24.pddl	no plan found
./data/visitall/adapted_instances/instance-29.pddl	no plan found
./data/visitall/adapted_instances/instance-28.pddl	no plan found
./data/visitall/adapted_instances/instance-30.pddl	no plan found
